,Intercept,Best alpha,Best l1_ratio,RMSE,Std,RMSE_o,Std_o,Test set score,Test set score_train,ymax_train,ymin_train,ymax_test,ymin_test
0,-0.026213910637437332,0.054821169682973556,1.0,0.3364115809472773,0.7747768504129091,0.6227358624199559,1.38410537759321,0.7975725325957788,0.8114664678692293,2.5450076344457813,-0.6811550929300234,2.969159940772794,-0.6841804583840514
1,-0.0067865181989580775,0.025219034525109537,1.0,0.36861717837435815,0.8111360732956528,0.19646030818267665,1.0889306384447983,0.967450133840641,0.7934792427343407,3.055708950476821,-0.679426884121773,2.725857670460257,-0.5415740563974168
2,0.018225862016643706,0.008897265746608112,1.0,0.33464277575367996,0.8777243079652266,0.36170742566213426,0.5828728805417493,0.6149056464390991,0.854639417103745,2.8164756022983144,-0.718033405140425,1.0726971852974339,-0.49219887600535817
3,0.020831437503550404,0.011180446358421029,0.97,0.3355681547647222,0.8775195700623643,0.4118386236276431,0.5497128577690404,0.43871639443742216,0.853766168822557,2.8218887083190274,-0.6974472455170821,0.9775060078962011,-0.48349468794459405
4,-0.031186738604222032,0.01649466941839258,1.0,0.3042279568130814,0.7395654953880912,0.5430694316371489,1.2861870675202223,0.8217200766271007,0.8307826226422735,2.2985783692988946,-0.7303331109146688,2.726322460627689,-0.690930583349173
5,-0.006961828597412345,0.02127648181840472,1.0,0.33100444810357893,0.8618088553064038,0.3166530695311209,0.557098675845416,0.6769251493808823,0.8524817487616981,2.7375973990153097,-0.7395857831880669,0.9382113549798351,-0.5760423345979682
6,0.02971975794866094,0.01954767096809958,1.0,0.32904272363423226,0.8599645913085692,0.3410267600617368,0.1399080853470485,-4.941434196151792,0.8535992022262864,2.724093318373223,-0.7397639862095474,-0.3288446150741585,-0.7077603100965266
7,0.005837089613668033,0.02104874216368873,1.0,0.33296647690294073,0.8674425057351389,0.3004616127694972,0.15228755171801409,-2.8926842569114535,0.8526603536154456,2.741052960644116,-0.7420738626590553,-0.2586386021181222,-0.703356032155928
8,-0.026164911400446106,0.01785549255808235,1.0,0.3289551244354631,0.8159049378578159,0.3852367957392484,0.8366362459038793,0.7879773919949813,0.8374472992966018,2.776026894387837,-0.7241333286965309,1.8133116688980264,-0.7202324334029525
9,0.0023934606057008307,0.014393493154841373,1.0,0.35349353720373033,0.8876508664802296,0.13009235082701334,0.3031630655943493,0.8158588109085998,0.8414089795356879,2.803381763549549,-0.7144628843857896,0.19011485024561173,-0.7127694380640557
10,0.011671729722398952,0.04264362740855259,1.0,0.3595467675829816,0.8739477254110278,0.15858340646286834,0.2321585305271392,0.5333984333395744,0.8307456401299153,2.8166489164152355,-0.7136392370396463,-0.058473709472703785,-0.6910611800232147
11,0.01036456357366351,0.03603004945985072,1.0,0.34644417593263416,0.8891663957386154,0.2688565815237436,0.20108029716440137,-0.7877315633856263,0.8481899764873861,2.8337000467006215,-0.7114508146843882,-0.05847373288584283,-0.5846701119355942
12,-0.059326402404904416,0.020925905702003936,1.0,0.3094957033950362,0.6162858270288335,0.6616125315239382,1.1617359778882628,0.6756659340436209,0.7478001127265692,1.8563212155222453,-0.7081307936276527,2.8446360923448215,-0.05856933690626137
13,-0.00591394993631273,0.02178452072142327,1.0,0.3534569027691044,0.8022016149300882,0.2676760455279512,1.1927470356689243,0.949635755500668,0.8058640920377194,2.9323560249364458,-0.6948064678370708,2.4708010509185163,-0.6751497942483913
14,0.027820771750125914,0.02445510118396794,1.0,0.3062341386321311,0.9372738247129132,0.6277885924185894,0.321163389122572,-2.8209800947041836,0.8932484400222223,3.0340782357494245,-0.6765639461641626,0.5697053358908458,-0.3018036108224671
15,0.003448685150432715,0.01235478669730589,1.0,0.35700194774766264,0.9447633516626823,0.3975232477421414,0.45136341007884223,0.22433827105772208,0.8572108873518582,3.1113241040700106,-0.6761014088006615,0.5535249556152397,-0.659192535542788
16,-2.6404841571495488e-05,0.026803407014143965,0.73,0.36798956630115365,0.9163250859276824,0.40882372970839154,1.0067278643421531,0.8350896119954908,0.8387232148073253,3.2564764797925827,-0.6691248538486204,2.036046585100911,-0.6320990328986283
17,-0.009668958444984102,0.020241684677484138,1.0,0.38921933163554856,0.9494494412984764,0.15804772775268577,0.6920796342869143,0.9478487918668509,0.8319474454377564,3.273882814035982,-0.6637599501314126,1.1852691156076263,-0.668848831213845
18,0.37563872819452304,0.0005398045829058404,1.0,0.1945639101708168,0.7372407135597665,8.533042474878851,1.2986477547349826,-42.174277326887506,0.9303524329855933,2.3827301977776503,-0.6964850067814679,2.846433085781835,-0.6960508889503207
19,0.038092438310285484,0.012091304397260609,0.98,0.33639582179855393,0.772848769497917,0.40470934249528084,1.2119821119486998,0.8884950775579761,0.8105423498516211,2.8333064895122906,-0.6995121919850069,2.374634981196228,-0.6851887198095056
20,0.010803321286189507,0.017250352723660156,1.0,0.3516869565096045,0.7905880208651273,0.34258694224160113,1.2191738470989226,0.9210394189239294,0.8021153698185508,2.935455073817745,-0.6839560114114477,2.47697450894675,-0.6626778769571149
21,-0.03530491867140168,0.023303216826259354,1.0,0.30131711081554996,0.7627570166171405,0.5923586067049924,1.2079851314333856,0.7595381254758198,0.8439459061433252,2.3672106966802198,-0.707879140442328,2.8191076293057282,-0.3737463033915564
