"","otu48366","otu64777","otu47902","otu2986","otu10322","otu37875","otu16663","otu1555","otu18184","otu44494","otu70728","otu16779","otu11411"
"L.1.1",2.31558226274347,1.06195607128056,0.212391214256113,0.896187318690427,0.331537505180274,0.357438872772482,0.0725238292581848,0.471404890178201,0.14504765851637,0.538748445917944,1.10857853294654,0.771860754247824,0.253833402403647
"L.2.1",9.49610389610389,2.82077922077922,0.727272727272727,10.1038961038961,1.56363636363636,1.53766233766234,0.192207792207792,4.25454545454545,0.467532467532468,4.95584415584416,2.62337662337662,1.30909090909091,2.24935064935065
"L.3.1",18.0721633335074,10.2918907628844,2.26097853897969,0.2349746749517,2.9450159260613,2.84580439663725,0.939898699806799,0.130541486084278,1.02866691034411,0.250639653281813,1.00255861312725,0.647485770978017,0.114876507754164
"L.4.1",32.4549092988201,2.66645875565258,0.43661312958054,0.124746608451583,5.47845522116534,4.58443786059567,0.166328811268777,0.0571755288736421,1.64769478663132,0.301470970424658,0.114351057747284,0.0519777535214928,0.233899890846718
"L.5.1",10.6323620582765,1.63256871254391,0.377144038024385,0.0568299235379211,1.76172762967555,1.47757801198595,0.170489770613763,0.0361644967968589,0.51146931184129,0.0878280636495144,0.103327133705311,0.0774953502789833,0.04649721016739
"L.6.1",29.8952879581152,5.2303664921466,1.30890052356021,0.0785340314136126,4.86910994764398,4.7434554973822,0.554973821989529,0.0680628272251309,1.40314136125654,0.0994764397905759,0.06282722513089,0.0366492146596859,0.0732984293193717
"L.7.1",20.8352885969029,6.64268210021378,1.57985296417957,0,3.3265550862923,2.98242869805516,0.698680848845091,0.0104280723708223,0.975024766671881,0.0156421085562334,0.0677824704103446,0.0573543980395224,0.0104280723708223
"L.8.1",20.3325539101065,6.46401662769551,1.53286567939725,0.0155884645362432,3.64250454663549,3.3203429462198,0.592361652377241,0,0.976877110937906,0.0103923096908288,0.0467653936087295,0.0467653936087295,0
"L.9.1",7.08116545265349,9.92195629552549,2.36732570239334,0.0104058272632674,1.15504682622268,0.978147762747138,0.827263267429761,0,0.551508844953174,0.0104058272632674,0.0208116545265349,0.0260145681581686,0
"L.10.1",19.4806549170925,5.5584523933674,1.10021900093858,0.0260715403066013,2.90958389821671,2.97215559495255,0.484930649702784,0.0104286161226405,1.16800500573574,0.0365001564292418,0.0104286161226405,0.0156429241839608,0.0260715403066013
"L.11.1",12.6839194406762,5.75498278200981,1.23656475007826,0.0156527183554211,1.93050193050193,1.93050193050193,0.422623395596369,0,0.720025044349369,0.0156527183554211,0,0.0156527183554211,0
"L.12.1",20.6109660574413,4.81984334203655,1.02349869451697,0.02088772845953,3.23759791122715,3.40469973890339,0.480417754569191,0,1.10704960835509,0.0261096605744125,0,0,0.0156657963446475
"L.13.1",24.0844777361631,2.68414481897628,0.593008739076155,0,3.68809821057012,3.38119017894299,0.218476903870162,0,1.30045776113192,0.015605493133583,0,0,0.0104036620890553
"L.14.1",21.3338169758524,8.16146750958649,1.81365944657477,0.0207275365322831,3.28531454036688,3.16094932117318,0.746191315162193,0,1.20219711887242,0.0103637682661416,0,0.00518188413307078,0.00518188413307078
"L.15.1",14.0939597315436,9.62488944383747,2.12788096352947,0.00520264294261485,2.15909682118516,2.08105717704594,0.879246657301909,0,0.83762551376099,0.0208105717704594,0,0,0.00520264294261485
"L.1.2",2.84173408006638,1.22381248703588,0.254096660443891,1.1667703795893,0.425222982783655,0.352623936942543,0.0933416303671437,0.61709188964945,0.18149761460278,0.700062227753578,0.622277535780958,0.378552167600083,0.191868906865795
"L.2.2",9.81518869389657,5.75141067453538,1.2424289485945,7.8946006108609,1.52197546202827,1.32525754516747,0.305430449862815,2.98182947662681,0.465910855722938,5.35279805352798,0.936998498731687,0.305430449862815,2.62463115390589
"L.3.2",13.0394239237424,11.3039423923742,2.34678547376056,1.54380148163498,2.21209138475885,1.97896699994819,0.663109361239186,0.59058177485365,0.745998031394084,1.65259286121328,0.497332020929389,0.36263793192768,1.04128891882091
"L.4.2",31.0071083899756,4.5192756706273,0.897628807139522,0.300939137653712,5.15747418668604,4.66455663363254,0.363202407513101,0.0985835106106989,1.57214756394957,0.586312457842578,0.191978415399782,0.0933949047890832,0.399522648264411
"L.5.2",23.218832822325,9.213740061321,1.94876058826586,0.332588473730707,3.83516083770722,3.06085329730292,0.743127370992049,0.228654575689861,1.09650262433093,0.498882710596061,0.535259574910357,0.420932287065426,0.239047965493946
"L.6.2",26.6462401329456,3.73909430826755,0.778977980889073,0.020772746157042,4.35708350643955,3.94162858329871,0.327170751973411,0.00519318653926049,1.33464894058995,0.0467386788533444,0.431034482758621,0.358329871208974,0.0311591192355629
"L.7.2",15.018257694314,9.75482524778299,2.32133541992697,0.0208659363588941,2.48826291079812,2.08659363588941,0.99113197704747,0,0.745957224830464,0.0104329681794471,0.292123109024517,0.172143974960876,0
"L.8.2",13.9260261145503,5.21250585236436,1.20688758258336,0,2.33054153878167,2.22129740415128,0.395359725329033,0,0.801123653956198,0.00520210164906622,0.135254642875722,0.119648337928523,0
"L.9.2",7.84558555746319,13.2355236460122,3.56381041569117,0,1.39951095156339,1.14458144737527,1.16539201914573,0,0.50465636543364,0,0.0780396441392227,0.0468237864835336,0
"L.10.2",16.5244816710615,7.10924978025955,1.52525722558296,0,2.59035210175275,2.56967064784654,0.635954707615945,0,1.11679851093532,0.0103407269531048,0.0206814539062096,0.0310221808593144,0
"L.11.2",16.5765109747217,8.76937480495163,1.92447727036305,0,2.43420368251326,2.21054821595756,0.853011546863622,0,0.962238635181525,0.0156038697597004,0.0364090294393009,0.0260064495995007,0
"L.12.2",19.2067782513775,9.70475101361888,2.08961430502131,0,2.93689572720657,2.67699345046263,0.961638423952594,0,1.14357001767335,0,0.0155941366046367,0.00519804553487889,0
"L.13.2",24.4876729428898,3.32882554873609,0.618953500468116,0,3.7345261624883,3.28721522937689,0.332882554873609,0,1.40434827837304,0,0,0.00520128991990014,0
"L.14.2",20.3103180760279,7.01318851823119,1.46883889319886,0.0103439358675976,3.18593224722007,3.0411171450737,0.636152055857254,0,1.13266097750194,0.00517196793379881,0,0.0155159038013964,0
"L.15.2",18.3834605994494,4.83091787439614,1.05968521115786,0,2.87257804789362,2.58168406836009,0.379201080463353,0,1.194743130227,0,0,0,0
"L.1.3",1.63662730474415,0.782059250051792,0.155376009944065,0.844209654029418,0.274497617567848,0.243422415579035,0.0621504039776258,0.429873627511912,0.0673296043090947,0.414336026517506,0.631862440439196,0.388440024860162,0.108763206960845
"L.2.3",4.12264880185519,1.36047410461221,0.278278794125225,20.0824529760371,0.71631022932234,0.639010564287555,0.0618397320278279,7.90517907755733,0.211285751095079,6.90543674310745,1.15949497552177,0.267972172120587,2.40144292708065
"L.3.3",11.1446567070949,9.16141793763989,2.22268492009786,3.84154911248764,1.9676227161522,1.80105148092239,0.728749154130446,1.50434646816928,0.619436781010879,2.50377387954818,0.499713705689449,0.312321066055905,1.17640934881058
