"","otu48366","otu64777","otu47902","otu2986","otu10322","otu37875","otu16663","otu1555","otu18184","otu44494","otu70728","otu16779","otu11411"
"H.1.1",4.92050296165437,0.389691364439364,0.0675465031694898,1.56915722747584,0.758599189441962,0.561155564792684,0.0363711940143406,0.691052686272472,0.213031279226852,1.05996051127507,0.654681492258132,0.379299594720981,0.602722643666216
"H.2.1",2.6885043263288,0.0875566543057272,0.030902348578492,0.437783271528636,0.458384837247631,0.38627935723115,0.0103007828594973,0.200865265760198,0.149361351462711,0.412031314379893,0.26782035434693,0.200865265760198,0.252369180057684
"H.3.1",0.760886329751684,0.318749678679759,0.0719757338954295,0.26219731633335,0.107963600843144,0.0514112384967354,0.0257056192483677,0.0925402292941237,0.0359878669477148,0.113104724692818,0.0359878669477148,0.0257056192483677,0.0514112384967354
"H.4.1",7.59533073929961,1.19844357976654,0.30609597924773,12.9961089494163,1.28145265888457,1.08430609597925,0.0933852140077821,5.96108949416342,0.373540856031128,3.92217898832685,0.269779507133593,0.223086900129702,1.34889753566796
"H.5.1",0.41211621677313,0.309087162579848,0.0875746960642901,22.4448794560066,0.0927261487739543,0.0721203379352977,0.0257572635483206,9.32412940449207,0.0257572635483206,3.96661858644138,0.00515145270966413,0.0103029054193283,0.267875540902535
"H.6.1",1.07383239993834,0.123310897600575,0.0565174947335971,32.5797667368854,0.174690438267482,0.149000667934029,0,13.9649591532652,0.0513795406669064,5.85726763602733,0.128448851667266,0.0411036325335251,0.606278579869496
"H.7.1",1.68518997156888,1.90230033600414,0.537606616696821,27.2525200310158,0.30498836908762,0.284311191522357,0.237787542000517,14.0139570948566,0.0672008270871026,5.07624709227191,0.0878780046523649,0.0413543551305247,0.242956836391833
"H.8.1",0.360249086511245,0.437445319335083,0.072049817302249,2.36220472440945,0.0360249086511245,0.0360249086511245,0.0411713241727137,1.02928310431784,0.0514641552158921,0.385981164119191,0.0205856620863568,0.0154392465647676,0.0154392465647676
"H.9.1",1.17306599142163,1.87587204795618,0.645961449020722,0.046509224329492,0.222210738463129,0.222210738463129,0.242881504831792,0.0310061495529947,0.0723476822903209,0.00516769159216578,0.0361738411451605,0.0155030747764973,0
"H.10.1",0.445719555305087,0.0870946257492699,0.0307392796762129,0.0102464265587376,0.0717249859111635,0.056355346073057,0.0102464265587376,0,0.0204928531174753,0,0,0,0
"H.11.1",2.20291653738753,3.03030303030303,0.801530665011894,0.0206846623228876,0.434377908780639,0.38266625297342,0.346468093908367,0.0206846623228876,0.0930809804529941,0,0.0258558279036095,0.0465404902264971,0
"H.12.1",0.624775951246991,0.102422287089671,0.0307266861269012,0,0.107543401444154,0.0921800583807036,0.00512111435448354,0.00512111435448354,0.0256055717724177,0,0,0,0
"H.13.1",0.898435483038158,10.4817473021118,3.04641916662364,0.00516342231631125,0.154902669489338,0.160066091805649,1.40961429235297,0.00516342231631125,0.0361439562141788,0.00516342231631125,0,0.00516342231631125,0
"H.14.1",1.24434389140271,1.74825174825175,0.467914438502674,0,0.179967091731798,0.190250925545043,0.215960510078157,0,0.071986836692719,0,0,0,0
"H.15.1",0.231041741541305,0.241310263387585,0.0564768701545413,0.00513426092314011,0.0513426092314011,0.0256713046157006,0.0308055655388407,0,0.0102685218462802,0,0,0,0
"H.1.2",6.34343853820598,0.487956810631229,0.109011627906977,2.88102159468439,1.18355481727575,0.90843023255814,0.04671926910299,1.23546511627907,0.316652823920266,1.77014119601329,0.789036544850498,0.451619601328904,0.934385382059801
"H.2.2",5.7835916979966,0.0515012617809136,0,0.432610598959675,1.00427460472782,0.777669052891796,0,0.200854920945563,0.288407065973116,0.690116907864243,0.236905804192203,0.180254416233198,0.329608075397847
"H.3.2",0.282297387465996,0.118051634758507,0.0307960786326541,0.528666016527229,0.0667248370374172,0.0307960786326541,0,0.215572550428579,0.010265359544218,0.143715033619053,0.0205307190884361,0.0153980393163271,0.0513267977210902
"H.4.2",4.97139885595424,2.4544981799272,0.592823712948518,9.33957358294332,0.837233489339574,0.717628705148206,0.192407696307852,4.19136765470619,0.239209568382735,2.84971398855954,0.265210608424337,0.130005200208008,0.910036401456058
"H.5.2",1.58418907064348,0.861757572630167,0.196088549460756,18.1123897001909,0.3302543990918,0.263171474276278,0.067082924815522,7.40492285463646,0.0980442747303782,4.28298673822179,0.180607874503328,0.0516022498580938,0.83079622271531
"H.6.2",0.970923661769239,0.184937840336998,0.0359601356210829,36.3454227884517,0.169526353642248,0.133566218021165,0.0154114866947498,15.8430083222028,0.0462344600842495,6.16973184013151,0.200349327031748,0.0976060824000822,0.575362169937327
"H.7.2",3.33625987708516,3.63580023756649,1.13618757423953,18.9691680008263,0.593916231988845,0.49579094148634,0.475132985591076,10.9745390693591,0.160099158188297,3.71326757217373,0.191086092031194,0.149770180240665,0.134276713319217
